noise,detectors,mse,psnr,ssim,view_fijo
100.0,30,0.020047269873599036,16.979447631716134,0.5293658461701448,360
100.0,53,0.015231709257340825,18.172513586876487,0.3426452774332938,360
100.0,77,0.013092780442426143,18.829681149026072,0.3002723518419673,360
100.0,101,0.012783237572623835,18.933591397726147,0.2836034572221096,360
100.0,125,0.0123490734956984,19.083656246552977,0.3006912448927836,360
100.0,148,0.012095231964555317,19.173857982437838,0.3173462355529544,360
100.0,172,0.012051958812193618,19.189423612060818,0.337834052105656,360
100.0,196,0.011749359091565634,19.299858228039803,0.3610646312958203,360
100.0,220,0.011711794314594518,19.31376563404963,0.37485369355264453,360
100.0,243,0.011542592838688671,19.376966236715106,0.3908592910424303,360
100.0,267,0.011472361730065425,19.403471679093084,0.40054727599742074,360
100.0,291,0.011390324084838465,19.43463918918734,0.4077322228539522,360
100.0,315,0.011347902167955646,19.450844169808878,0.41612797741201885,360
100.0,338,0.01142638065033045,19.420913122565274,0.41922417584420746,360
100.0,362,0.011589352930339063,19.359408113727355,0.4173192999415892,360
100.0,386,0.0118989455418236,19.244915231165333,0.42286802173401317,360
100.0,410,0.012334070537010362,19.088935722266612,0.42600622098748286,360
100.0,433,0.01282350443938998,18.919932735139295,0.4287368950691252,360
100.0,457,0.013490703493986952,18.699654027676477,0.4347874317630969,360
100.0,481,0.014261141370585196,18.4584571493924,0.43754995593440094,360
100.0,505,0.015295609212197064,18.15433220723993,0.442440440040464,360
100.0,528,0.016149976155803204,17.918281145347816,0.44713945704498315,360
100.0,552,0.017259743415842084,17.629656648150274,0.45237083616597534,360
100.0,576,0.01840979947381846,17.349509419624933,0.4578258708583811,360
100.0,600,0.01963630002999103,17.069403407820865,0.4651828839452536,360
11200.0,30,0.013529714124528967,18.68711379710672,0.6260275089880452,360
11200.0,53,0.012458448220428358,19.04536048469342,0.5364547491719927,360
11200.0,77,0.01168406135670275,19.324061710747745,0.5198470955540503,360
11200.0,101,0.011919655395160286,19.237363001447495,0.5101033535060779,360
11200.0,125,0.011762019684806219,19.29518098102187,0.5126087666982779,360
11200.0,148,0.011725738334559642,19.30859801531471,0.5166816328013125,360
11200.0,172,0.011687250462434842,19.3228764875639,0.5229434568470965,360
11200.0,196,0.011554673719894834,19.372423135903144,0.5308833312316507,360
11200.0,220,0.011582258370507838,19.36206751297457,0.5357255650596532,360
11200.0,243,0.011489565812959835,19.39696382852056,0.5419911124985395,360
11200.0,267,0.011482571730831805,19.399608328939596,0.547867796986823,360
11200.0,291,0.011479239232981983,19.40086893111037,0.5537803239832357,360
11200.0,315,0.011475443025914136,19.402305389065365,0.5587292224476422,360
11200.0,338,0.011485415770782477,19.39853278772109,0.563451017940502,360
11200.0,362,0.011443222342183538,19.414516636222835,0.5679936011697486,360
11200.0,386,0.011444294185238398,19.414109868171813,0.572394049170872,360
11200.0,410,0.011450653798143685,19.411697156979066,0.57606624365035,360
11200.0,433,0.011419150933056394,19.42366186702867,0.5802283256471316,360
11200.0,457,0.011416828172734653,19.424545351804447,0.5830101888090453,360
11200.0,481,0.011404367750707979,19.429287866687783,0.5862408791824546,360
11200.0,505,0.011469145739872622,19.404689285918238,0.5889311800403293,360
11200.0,528,0.01132173601803354,19.460869755111236,0.5916231224217319,360
11200.0,552,0.01138526055078524,19.436570261403187,0.5936080298917347,360
11200.0,576,0.011357543570054416,19.447155884602513,0.595895896615526,360
11200.0,600,0.011355211745886142,19.44804762878636,0.5974316628051931,360
