noise,views,mse,psnr,ssim,detec_fijo
100.0,30,0.016995460758808846,17.69667056894652,0.3003451157656335,512
100.0,53,0.01664079039915233,17.7882604956945,0.3421947901255264,512
100.0,77,0.016541707600736578,17.81419660243079,0.3703938910937051,512
100.0,101,0.016439490774618617,17.84111639180296,0.38921494900511744,512
100.0,125,0.016368864648509125,17.859814423954575,0.39701941347646186,512
100.0,148,0.016370756919452324,17.859312400540468,0.40925954587350755,512
100.0,172,0.016356266771736516,17.863158146897074,0.41608777583974815,512
100.0,196,0.016341446868248035,17.86709493759686,0.42177486029533445,512
100.0,220,0.01633738016622311,17.868175849256403,0.42377595547972974,512
100.0,243,0.01630243851738997,17.877474290047918,0.42799918172311724,512
100.0,267,0.016211747526742815,17.901701683522678,0.4323625772269126,512
100.0,291,0.01626556681702068,17.887307979698846,0.4348070397955859,512
100.0,315,0.016240355623573916,17.894044650169626,0.43891867963448006,512
100.0,338,0.016284691359458873,17.88220468118704,0.43911377865218754,512
100.0,362,0.016242764942875916,17.893400405366986,0.4424609365264162,512
100.0,386,0.016218987628181403,17.89976257474798,0.44257174265806476,512
100.0,410,0.016239955025015417,17.894151778297374,0.44432256507005163,512
100.0,433,0.016245922907207534,17.892556119815094,0.44630861491153445,512
100.0,457,0.01621399462943525,17.901099751701683,0.44662547996496504,512
100.0,481,0.016215862681156035,17.9005994198332,0.4486857482147911,512
100.0,505,0.01622284164000213,17.898730711802788,0.4476285545582192,512
100.0,528,0.016239806319699162,17.89419154576832,0.4502268005247994,512
100.0,552,0.016233634442746166,17.895842379232842,0.44959133262860157,512
100.0,576,0.016233104264492048,17.89598421885048,0.4513338455079138,512
100.0,600,0.016202589289188718,17.90415576559267,0.4535134327492222,512
11200.0,30,0.012259944501123648,19.115114957972374,0.5295709034986968,512
11200.0,53,0.012179480697921723,19.143712285204654,0.5642215587706882,512
11200.0,77,0.012148410187880827,19.154805526670348,0.5745744695654147,512
11200.0,101,0.012127140994291354,19.162415731443655,0.5788328380238823,512
11200.0,125,0.012127755788793545,19.162195568181573,0.5812085549999635,512
11200.0,148,0.01211758502072229,19.165839244501793,0.5821529562219225,512
11200.0,172,0.012130007925192457,19.161389153851808,0.582879928742616,512
11200.0,196,0.012130093524183616,19.1613585066844,0.5837935025380149,512
