noise,detectors,mse,psnr,ssim,view_fijo
1000.0,30,0.014407816810496476,18.41401822030298,0.5926512038535697,360
1000.0,53,0.012884022026438872,18.89948541384737,0.45611966468594906,360
1000.0,77,0.011936872338732396,19.23109450758272,0.4541541751290039,360
1000.0,101,0.012065701162446027,19.184474352858064,0.4605969963464473,360
1000.0,125,0.011911259533958392,19.240423124277452,0.4698938734723755,360
1000.0,148,0.011805552946504054,19.279136666969393,0.48355896026802786,360
1000.0,172,0.01175971343435047,19.296032612017726,0.49460971086786515,360
1000.0,196,0.011621639886654699,19.347325859323313,0.5037096957274964,360
1000.0,220,0.01164510973719595,19.338564145544524,0.5106537904704437,360
1000.0,243,0.011505835311478793,19.390818465305667,0.5187965659086312,360
1000.0,267,0.011503580896827998,19.391669490674616,0.525327262959976,360
1000.0,291,0.011479817458444437,19.40065017636703,0.5327346633078683,360
1000.0,315,0.011490260866054305,19.39670111311555,0.5390538973362619,360
1000.0,338,0.011474556068662977,19.4026410759109,0.543758666609393,360
1000.0,362,0.01141741063112511,19.42432379113221,0.5484874970711128,360
1000.0,386,0.01139116208065669,19.434319686800855,0.5529599192132622,360
1000.0,410,0.01137842029536713,19.43918028329937,0.5558216767867751,360
1000.0,433,0.011304394512670408,19.46752694428601,0.55907684419508,360
1000.0,457,0.011277768627905018,19.477768195414995,0.5601252388556218,360
1000.0,481,0.011234161236162374,19.494593472861986,0.5621463794076291,360
1000.0,505,0.01130159612620578,19.468602167066948,0.5622920908957358,360
1000.0,528,0.011225940379374173,19.497772686349247,0.5626523571637041,360
1000.0,552,0.011323569560027908,19.460166477189475,0.5630039010231377,360
1000.0,576,0.011484286294845401,19.398959893972542,0.5614507157620523,360
1000.0,600,0.01169074959099653,19.321576417212555,0.5598046796112726,360
112000.0,30,0.013458203854191457,18.710128976354138,0.6341512433266163,360
112000.0,53,0.012370641109486396,19.076077924406224,0.5491078929316241,360
112000.0,77,0.011640402083250708,19.340320180090597,0.5307824268086201,360
112000.0,101,0.011874590016139695,19.253813759600995,0.5190285896733945,360
112000.0,125,0.011733166101782442,19.305847811498264,0.520559324891096,360
112000.0,148,0.011701029294058508,19.317759333762204,0.5236757388772983,360
112000.0,172,0.011675249018815937,19.32733847691673,0.528594465547285,360
112000.0,196,0.011534509033962777,19.380008864813046,0.5361301642299103,360
112000.0,220,0.011575538209179717,19.364588071486416,0.5407033275655554,360
112000.0,243,0.011478312357460841,19.401219610426388,0.5466171155567353,360
112000.0,267,0.011470244459434663,19.404273261046463,0.5521824850806424,360
112000.0,291,0.011468154946375951,19.405064479280757,0.5576657371576533,360
112000.0,315,0.011469730764811495,19.40446776408152,0.5626973083148847,360
112000.0,338,0.011477745468893298,19.401434104202846,0.5673128990772627,360
112000.0,362,0.011435741323800938,19.41735676933883,0.5717459429652627,360
112000.0,386,0.011439674608903513,19.415863284772115,0.5759915046237277,360
112000.0,410,0.011451487670526676,19.4113809016846,0.5795726106171919,360
112000.0,433,0.011423213516896338,19.42211705518012,0.5836336015413985,360
112000.0,457,0.011422909038670341,19.422232815054116,0.5864854166010266,360
112000.0,481,0.01141088588240276,19.42680637886398,0.5898612226477834,360
112000.0,505,0.011484279469392449,19.3989624751146,0.5924047158441345,360
112000.0,528,0.01134198018245997,19.453111158805434,0.5952085721881823,360
112000.0,552,0.011416921819282892,19.4245097289399,0.5975581783637349,360
112000.0,576,0.011392268996126664,19.433897689535122,0.5999127618430974,360
112000.0,600,0.011408147673395706,19.427848657069898,0.6020446991527395,360
223000.0,30,0.013450033133079036,18.71276645810594,0.6350685807119589,360
223000.0,53,0.012356882953673876,19.08091067009629,0.55121007042426,360
223000.0,77,0.011635803997434902,19.34203602958615,0.5318803006473303,360
